TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
0124-5376,,2539-200X,Biota Colombiana,2021,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Biologías,Ciencias Biológicas,Ciencias Naturales,INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT,Centros o institutos de investigación,Público
,,2145-308X,Panorama,2021,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO,Universidades,Privado
2027-5137,,2322-777X,Historia Y Memoria,2021,B,Boyacá,Tunja,No registra,Historia y Arqueología,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-0739,,2256-201X,Colombia Forestal,2021,B,"Bogotá, D. C.","Bogotá, D.C.",Forestal,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2012,A2,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
0034-7418,1909-6356,,Revista Colombiana De Ciencias Químico Farmacéuticas,2005,C,"Bogotá, D. C.","Bogotá, D.C.",Farmacología y Farmacia,Medicina Básica,Ciencias Médicas y de la Salud,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-8123,,,Revista Colombiana De Reumatología,2008,A2,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE REUMATOLOGIA,Entidades sin ánimo de lucro,Privado
0120-4688,,,Praxis Filosófica,2005,C,Valle del Cauca,Cali,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD DEL VALLE,Universidades,Público
0123-3432,2145-566X,,Íkala,2013,A2,Antioquia,Medellín,Lingüística,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
,1657-9534,,Colombia Médica,2008,A1,Valle del Cauca,Cali,Medicina General e Interna,Medicina Clínica,Ciencias Médicas y de la Salud,UNIVERSIDAD DEL VALLE,Universidades,Público
0120-5307,2216-0280,,Investigación Y Educación En Enfermería,2008,A2,Antioquia,Medellín,Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0122-9354,,,Revista De Medicina Veterinaria,2007,C,"Bogotá, D. C.","Bogotá, D.C.",Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0120-8748,,,Acta Neurológica Colombiana,2008,C,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE NEUROCIRUGIA,Entidades sin ánimo de lucro,Privado
0120-386X,2256-3334,,Revista Facultad Nacional De Salud Publica,2004,C,Antioquia,Medellín,Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0124-4108,2248-454x,,Perspectivas En Nutrición Humana,2008,B,Antioquia,Medellín,Nutrición y Dietas,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0123-4676,,,Fronteras De La Historia,2008,B,No disponible,No disponible,Historia,Historia y Arqueología,Humanidades,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH,Nacional,Público
0124-7492,,,Ingenium,2007,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0121-4381,,,Suma Psicológica,2005,C,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION UNIVERSITARIA KONRAD LORENZ,Universidades,Privado
0072-0992,,,Geología Colombiana,2004,C,"Bogotá, D. C.","Bogotá, D.C.",Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0123-417X,,,Psicología Desde El Caribe,2008,C,Atlántico,Barranquilla,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0123-1154,,,Revista Ibero- Latinoamericana De Seguros,2010,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-5323,,,Universitas Philosophica,2013,A2,"Bogotá, D. C.","Bogotá, D.C.",Filosofía,Otras Humanidades,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0124-5996,,,Revista De Economía Institucional,2006,A2,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
0120-0135,2256-2273,,Revista De Ciencias Agricolas,2012,C,Nariño,Pasto,Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD DE NARINO,Universidades,Público
0120-0062,2011-3668,,Ideas Y Valores,2006,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Humanidades,Otras Humanidades,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-750X,,,Ingeniería,2004,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
0120-5609,2248-8723,,Ingeniería E Investigación,2012,A1,"Bogotá, D. C.","Bogotá, D.C.",Ingeniería Civil,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-8697,,,Revista De Derecho,2008,B,Atlántico,Barranquilla,Derecho,Derecho,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0120-9957,,,Revista Colombiana De Gastroenterología,2007,A2,"Bogotá, D. C.","Bogotá, D.C.",Gastroenterología y Hepatología,Medicina Clínica,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE GASTROENTEROLOGIA,No disponible,No disponible
1794-1237,,,Revista Eia,2009,B,Antioquia,Envigado,Ingeniería Civil,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD EIA,Universidades,Privado
0034-7450,,,Revista Colombiana De Psiquiatría,2006,B,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE PSIQUIATRIA,Entidades sin ánimo de lucro,Privado
0120-0283,,,Boletín De Geología,2016,A2,Santander,Bucaramanga,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
0122-8285,,,Palabra Clave,2008,C,Cundinamarca,Chía,Periodismo,Periodismo y Comunicaciones,Ciencias Sociales,UNIVERSIDAD DE LA SABANA,Universidades,Privado
1692-8156,2011-1703,,International Law : Revista Colombiana De Derecho Internacional,2007,B,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-4165,,,Controversia,2005,C,No disponible,No disponible,No registra,Otras Ciencias Sociales,Ciencias Sociales,FUNDACION CENTRO DE INVESTIGACION Y EDUCACION POPULAR C I N E P,Centros o institutos de investigación,Privado
1657-2831,,,Revista Colombiana De Computación,2004,C,Santander,Bucaramanga,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,Universidades,Privado
0120-3630,,,Boletín De Ciencias De La Tierra,2016,A2,Antioquia,Medellín,Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
